background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Face+Scene_pure_random_02_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Scene,0.22968274354934692,0.5804087519645691,coco_polygon,-0.04340772027890945,,12345
,,mask_Face+Scene_pure_random_03_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Scene,0.2725572884082794,0.5836073756217957,coco_polygon,-0.048320011737631424,,12345
,,mask_Face+Scene_pure_random_04_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Scene,0.20332573354244232,0.5827564001083374,coco_polygon,-0.04309074868430692,,12345
,,mask_Face+Scene_pure_random_05_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Scene,0.24948382377624512,0.5759069919586182,coco_polygon,-0.047791720340031846,,12345
,,no_mask,none,816,E3_joint_redundancy,,,,Body,none,0.22590260207653046,0.5757942795753479,coco_polygon,-0.044773705304171824,,12345
,,no_mask_repeat,none,816,E3_joint_redundancy,,,,Body,none,0.22590260207653046,0.5757942795753479,coco_polygon,-0.044773705304171824,,12345
0.5846433639526367,0.006099763326346874,mask_Body+Scene_mean,target_roi,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.6488332748413086,-0.0016466304659843445,mask_Body+Scene_pure_random_01_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.6739944219589233,-0.012047404423356056,mask_Body+Scene_pure_random_02_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.6404528021812439,0.0005275029689073563,mask_Body+Scene_pure_random_03_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.6575971245765686,0.025066237896680832,mask_Body+Scene_pure_random_04_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.6977347135543823,0.0014431504532694817,mask_Body+Scene_pure_random_05_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Body+Scene,,,coco_polygon,,1.0,12345
0.5765102505683899,0.01248168759047985,mask_Face+Body+Scene_mean,target_roi,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
0.6290717124938965,-0.00613782461732626,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
0.6696053743362427,0.009871654212474823,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
0.6490012407302856,-0.0044134389609098434,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
0.6819522380828857,0.004089388996362686,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
0.6378673911094666,0.02112511545419693,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body+Scene,,,coco_polygon,,1.0,12345
