dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
158,-0.002042655150095623,Face,Body,face_lpips,3
177,0.003397850195566813,Face,Body,face_lpips,3
188,-5.6588649749755804e-05,Face,Body,face_lpips,3
218,-0.009929943084716798,Face,Body,face_lpips,3
287,-0.006464135646820069,Face,Body,face_lpips,3
292,-0.012841633955637614,Face,Body,face_lpips,3
295,0.032602548599243164,Face,Body,face_lpips,3
340,0.005169912179311116,Face,Body,face_lpips,3
375,-0.00399473508199056,Face,Body,face_lpips,3
384,0.0052272518475850425,Face,Body,face_lpips,3
415,-0.009254785378774008,Face,Body,face_lpips,3
434,0.01075429121653239,Face,Body,face_lpips,3
465,0.0006829738616943361,Face,Body,face_lpips,3
498,-0.009395535786946614,Face,Body,face_lpips,3
507,0.0028425494829813643,Face,Body,face_lpips,3
529,-0.001013692220052083,Face,Body,face_lpips,3
561,-0.004107344150543213,Face,Body,face_lpips,3
588,0.02456565697987874,Face,Body,face_lpips,3
606,0.0009634733200073251,Face,Body,face_lpips,3
678,0.044648428757985435,Face,Body,face_lpips,3
708,0.030439658959706628,Face,Body,face_lpips,3
756,0.005316623051961262,Face,Body,face_lpips,3
762,0.01063360373179118,Face,Body,face_lpips,3
781,0.012092379728953044,Face,Body,face_lpips,3
789,0.009633326530456543,Face,Body,face_lpips,3
817,-0.0008754213651021326,Face,Body,face_lpips,3
820,-0.009910047054290771,Face,Body,face_lpips,3
838,-0.010095965862274169,Face,Body,face_lpips,3
877,0.031954598426818845,Face,Body,face_lpips,3
887,-0.06948455969492595,Face,Body,face_lpips,3
973,0.009916897614796957,Face,Body,face_lpips,3
1,-0.04286475777626037,Face,Body,face_dino,3
16,-0.017625953753789263,Face,Body,face_dino,3
20,0.009010464946428933,Face,Body,face_dino,3
51,-0.01649836835761865,Face,Body,face_dino,3
77,-0.013534523049990338,Face,Body,face_dino,3
135,-0.04081976811091105,Face,Body,face_dino,3
158,-0.07258069614569346,Face,Body,face_dino,3
177,-0.002327142655849457,Face,Body,face_dino,3
188,-0.023176029324531555,Face,Body,face_dino,3
218,-0.0016303514440854391,Face,Body,face_dino,3
287,-0.016438596447308856,Face,Body,face_dino,3
292,-0.0003884091973304765,Face,Body,face_dino,3
295,0.09870124459266662,Face,Body,face_dino,3
340,-0.025833160678545634,Face,Body,face_dino,3
375,0.0054940044879913325,Face,Body,face_dino,3
384,-0.0023987253506978345,Face,Body,face_dino,3
415,0.06110109736522038,Face,Body,face_dino,3
434,-0.04946223497390747,Face,Body,face_dino,3
465,0.008046616117159525,Face,Body,face_dino,3
498,0.00082735021909078,Face,Body,face_dino,3
507,0.007884720961252848,Face,Body,face_dino,3
529,-0.06583330805102984,Face,Body,face_dino,3
561,-0.00919070541858673,Face,Body,face_dino,3
588,-0.022694321970144902,Face,Body,face_dino,3
606,0.017513000965118406,Face,Body,face_dino,3
678,0.15880610197782516,Face,Body,face_dino,3
708,-0.05252965490023295,Face,Body,face_dino,3
756,-0.029583654801050824,Face,Body,face_dino,3
762,0.0034324814875920616,Face,Body,face_dino,3
781,0.07503591328859328,Face,Body,face_dino,3
789,0.07787962754567464,Face,Body,face_dino,3
817,-0.00933300356070201,Face,Body,face_dino,3
820,-0.06351346671581269,Face,Body,face_dino,3
838,-0.0038989794751008353,Face,Body,face_dino,3
877,-0.012530472377936044,Face,Body,face_dino,3
887,-0.08713999390602112,Face,Body,face_dino,3
973,0.003461126486460367,Face,Body,face_dino,3
1,0.06666666666666667,Face,Body,face_detection_success,3
16,0.0,Face,Body,face_detection_success,3
20,0.06666666666666667,Face,Body,face_detection_success,3
51,0.0,Face,Body,face_detection_success,3
77,0.0,Face,Body,face_detection_success,3
135,-0.06666666666666667,Face,Body,face_detection_success,3
158,0.0,Face,Body,face_detection_success,3
177,0.0,Face,Body,face_detection_success,3
188,0.0,Face,Body,face_detection_success,3
218,-0.13333333333333333,Face,Body,face_detection_success,3
287,-0.13333333333333333,Face,Body,face_detection_success,3
292,-0.26666666666666666,Face,Body,face_detection_success,3
295,-0.4000000000000001,Face,Body,face_detection_success,3
340,0.19999999999999998,Face,Body,face_detection_success,3
375,-0.26666666666666666,Face,Body,face_detection_success,3
384,0.0,Face,Body,face_detection_success,3
415,-0.06666666666666667,Face,Body,face_detection_success,3
434,0.19999999999999998,Face,Body,face_detection_success,3
465,0.0,Face,Body,face_detection_success,3
498,0.06666666666666667,Face,Body,face_detection_success,3
507,0.06666666666666667,Face,Body,face_detection_success,3
529,0.0,Face,Body,face_detection_success,3
561,0.20000000000000004,Face,Body,face_detection_success,3
588,0.20000000000000007,Face,Body,face_detection_success,3
606,-0.13333333333333333,Face,Body,face_detection_success,3
678,0.19999999999999998,Face,Body,face_detection_success,3
708,0.5333333333333333,Face,Body,face_detection_success,3
756,0.0,Face,Body,face_detection_success,3
762,-0.06666666666666667,Face,Body,face_detection_success,3
781,0.3333333333333333,Face,Body,face_detection_success,3
789,0.13333333333333333,Face,Body,face_detection_success,3
817,-0.13333333333333336,Face,Body,face_detection_success,3
820,0.4000000000000001,Face,Body,face_detection_success,3
838,0.06666666666666667,Face,Body,face_detection_success,3
877,-0.19999999999999998,Face,Body,face_detection_success,3
887,1.850371707708594e-17,Face,Body,face_detection_success,3
973,0.0,Face,Body,face_detection_success,3
1,0.009153439806919886,Face,Face,pixel_corr,3
16,0.0024252767322393166,Face,Face,pixel_corr,3
20,0.01751473920637053,Face,Face,pixel_corr,3
51,-0.005787936954127355,Face,Face,pixel_corr,3
77,-0.000824946127174511,Face,Face,pixel_corr,3
135,0.007935413218328117,Face,Face,pixel_corr,3
158,0.0017689284926212696,Face,Face,pixel_corr,3
177,0.027152050549569883,Face,Face,pixel_corr,3
188,-0.0006150350893810773,Face,Face,pixel_corr,3
218,0.0038077742915753224,Face,Face,pixel_corr,3
287,0.0035186063162128633,Face,Face,pixel_corr,3
292,0.002627656153064515,Face,Face,pixel_corr,3
295,0.006382378832503782,Face,Face,pixel_corr,3
340,-0.0001488978865317476,Face,Face,pixel_corr,3
375,0.0023967404601631724,Face,Face,pixel_corr,3
384,-0.0010928093323198291,Face,Face,pixel_corr,3
415,0.02612826141016064,Face,Face,pixel_corr,3
434,-0.0025687321400491266,Face,Face,pixel_corr,3
465,-0.0009145727595437832,Face,Face,pixel_corr,3
498,-0.002284546742736961,Face,Face,pixel_corr,3
507,0.019151151590483678,Face,Face,pixel_corr,3
529,-0.0017591770082967199,Face,Face,pixel_corr,3
561,-0.002418239524449822,Face,Face,pixel_corr,3
588,0.00987596646560558,Face,Face,pixel_corr,3
606,-0.0018539325080155448,Face,Face,pixel_corr,3
678,-0.004129104468465616,Face,Face,pixel_corr,3
708,0.009863626067459899,Face,Face,pixel_corr,3
756,-0.00569373267071657,Face,Face,pixel_corr,3
762,-0.004281844634310792,Face,Face,pixel_corr,3
781,-0.00032470012810406276,Face,Face,pixel_corr,3
789,-0.005850044210165116,Face,Face,pixel_corr,3
817,0.010676719328386984,Face,Face,pixel_corr,3
820,0.002972193344225962,Face,Face,pixel_corr,3
838,-0.002322497005966499,Face,Face,pixel_corr,3
877,-0.0001969663035111775,Face,Face,pixel_corr,3
887,0.013805443359369021,Face,Face,pixel_corr,3
973,0.000516586647107647,Face,Face,pixel_corr,3
1,0.0004399747365977107,Face,Face,ssim,3
16,-0.0011553267153200392,Face,Face,ssim,3
20,0.0025468896178272994,Face,Face,ssim,3
51,-0.003143094139483811,Face,Face,ssim,3
77,-0.0004938701541654433,Face,Face,ssim,3
135,-0.0149631334155981,Face,Face,ssim,3
158,0.0006923088454022971,Face,Face,ssim,3
177,-0.002369349094732028,Face,Face,ssim,3
188,-0.0023533711019022574,Face,Face,ssim,3
218,-0.000641585324273027,Face,Face,ssim,3
287,0.004644052649723022,Face,Face,ssim,3
292,-0.008440398552287946,Face,Face,ssim,3
295,-0.0033904002627214787,Face,Face,ssim,3
340,-0.0015446216036096158,Face,Face,ssim,3
375,-0.0009606035494927361,Face,Face,ssim,3
384,-0.00013943365744237095,Face,Face,ssim,3
415,-0.004011566420455803,Face,Face,ssim,3
434,0.0026158431459079035,Face,Face,ssim,3
465,-0.0068203575344776,Face,Face,ssim,3
498,0.001034951125970751,Face,Face,ssim,3
507,-0.005258258218444948,Face,Face,ssim,3
529,-0.0042784130388345614,Face,Face,ssim,3
561,0.001004842120175886,Face,Face,ssim,3
588,0.000720749021925334,Face,Face,ssim,3
606,0.0007896846776131856,Face,Face,ssim,3
678,-0.005345111448146439,Face,Face,ssim,3
708,0.0022261584674981884,Face,Face,ssim,3
756,-0.0032381845075709955,Face,Face,ssim,3
762,-0.003898605175687018,Face,Face,ssim,3
781,-0.00776791755346637,Face,Face,ssim,3
789,-0.004105243765752309,Face,Face,ssim,3
817,0.0028830315018645637,Face,Face,ssim,3
820,-0.000857724124558697,Face,Face,ssim,3
838,-0.00045507765542069555,Face,Face,ssim,3
877,0.002568992070906967,Face,Face,ssim,3
887,0.004334171286516209,Face,Face,ssim,3
973,-0.0009134795694403936,Face,Face,ssim,3
1,0.0003536621729532876,Face,Face,lpips,3
16,0.00457223653793335,Face,Face,lpips,3
20,-0.0056582172711690274,Face,Face,lpips,3
51,0.0010115027427673338,Face,Face,lpips,3
77,0.001478914419809977,Face,Face,lpips,3
135,-0.005349628130594889,Face,Face,lpips,3
158,-0.0003727475802103683,Face,Face,lpips,3
177,0.004074772198994954,Face,Face,lpips,3
188,0.004039303461710612,Face,Face,lpips,3
218,-0.003919716676076253,Face,Face,lpips,3
287,-0.0012675642967224122,Face,Face,lpips,3
292,0.01366966168085734,Face,Face,lpips,3
