analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Body,Face,0.034547735581195345,-0.0031338508801744248,-0.0011210601062998722,person_region_consistency,-0.08884008862962008,50,0.42,-0.006434848819522086,0.003164219989039082,0.01855406733862701
descriptive_only,Body,Face,0.02561298003002351,-0.002245741738069437,0.0006523903294769712,pixel_corr,-0.06229106452659938,50,0.52,-0.0031581493057797234,0.0040719191009652485,0.014117773101006065
descriptive_only,Body,Face,0.008449061231021404,8.717344025563139e-05,0.000141821034862094,ssim,-0.01873837203327305,50,0.56,-0.0016930669526865475,0.001822733414961074,0.004156605581034031
descriptive_only,Body,Scene,0.07905222177505493,0.0060110579927762356,0.0020001818736394257,clip,-0.04964334269364675,50,0.6,-0.010245532790819804,0.024839461346467334,0.028612873480336833
descriptive_only,Body,Scene,0.21095801827808222,0.006891397536111378,7.605167726675485e-05,dino,-0.09518417517344158,50,0.5,-0.018672937992960215,0.022441511605090152,0.05554367116783086
descriptive_only,Body,Scene,0.03292150894800822,-0.0018783430258433023,-0.003627610206604004,lpips,-0.025975668430328367,50,0.34,-0.008647930622100829,0.0037026683489481604,0.011847395416179237
descriptive_only,Body,Scene,0.09878537654876711,-0.0013520811181515447,-0.007031416582564512,person_dino,-0.08862829754749935,50,0.38,-0.02725575302417079,0.026263831928372387,0.04183995731365212
descriptive_only,Body,Scene,0.030473075310389203,-0.0019181957642237346,-0.001662246882915497,person_lpips,-0.015012087424596152,50,0.36,-0.0053914420306682585,0.0012685964504877724,0.007155570717575716
descriptive_only,Body,Scene,0.11138658706800462,-0.0003114614220301737,8.913689722172429e-05,person_region_consistency,-0.09388489986462221,50,0.5,-0.018277316685596574,0.016135090599543368,0.03102574088268677
descriptive_only,Body,Scene,0.14379544270540748,0.005622842083420914,-0.0014410605980953643,pixel_corr,-0.06066525885250846,50,0.48,-0.009969686732250085,0.012926451725807812,0.030243503483247686
descriptive_only,Body,Scene,0.027129521819738576,0.002975541964294401,0.0020044411151220187,ssim,-0.020910277172185465,50,0.58,-0.004610331962070678,0.008770457642298017,0.01041643506819285
descriptive_only,Face,Body,0.11747968693574269,0.0028207124085039706,0.003684043884277345,clip,-0.10143043398857117,37,0.5945945945945946,-0.007790265480677286,0.017016647259394325,0.03549255286486032
descriptive_only,Face,Body,0.11486758198589087,0.00652020868702649,0.0026019593079884846,dino,-0.07662954231103263,37,0.5135135135135135,-0.013115024566650391,0.021624738971392315,0.035315463951032494
descriptive_only,Face,Body,0.5333333333333333,0.023423423423423424,0.0,face_detection_success,-0.4000000000000001,37,0.40540540540540543,-0.06666666666666667,0.06666666666666667,0.1827203328953478
descriptive_only,Face,Body,0.15880610197782516,-0.004179257513569282,-0.00919070541858673,face_dino,-0.08713999390602112,37,0.35135135135135137,-0.025833160678545634,0.0054940044879913325,0.048373852756327454
descriptive_only,Face,Body,0.044648428757985435,0.0026405330713804766,0.0009634733200073251,face_lpips,-0.06948455969492595,37,0.5405405405405406,-0.004107344150543213,0.009916897614796957,0.01819463487795596
descriptive_only,Face,Body,0.04476056098937988,-0.00041215527165043445,-0.0016113917032877605,lpips,-0.019749987125396728,37,0.2972972972972973,-0.00705633560816447,0.0013258417447408039,0.012064203789640208
descriptive_only,Face,Body,0.050615731283034815,-0.001200437286784719,0.0004757218443093066,pixel_corr,-0.034648207744749714,37,0.5405405405405406,-0.009289421354458616,0.0039896655765978605,0.01440478334453082
descriptive_only,Face,Body,0.02355257510698972,-0.0015303036067330252,-0.0009465493507228783,ssim,-0.015908126908849306,37,0.32432432432432434,-0.005152848752839077,0.0007998115171164426,0.007367087149939213
descriptive_only,Face,Face,0.11641634305318198,0.0005793494147223399,-0.002849785486857099,clip,-0.037099977334340416,37,0.43243243243243246,-0.014323596159617105,0.011200104157129923,0.02619549876538582
descriptive_only,Face,Face,0.06262958745161694,0.002240017935767904,0.001177408297856648,dino,-0.04178185065587362,37,0.5135135135135135,-0.013314533233642576,0.016702114045619967,0.023195615405862548
descriptive_only,Face,Face,0.6,0.012612612612612616,0.0,face_detection_success,-0.4666666666666666,37,0.43243243243243246,-0.06666666666666667,0.13333333333333333,0.214785473126403
