background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.026713140308856964,0.8226915597915649,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.24740435183048248,0.7117117643356323,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,465,E3_joint_redundancy,0.0,0.3031647205352783,0.7915124893188477,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.300886332988739,0.6606853008270264,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4538871645927429,0.5665372610092163,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.44553592801094055,0.797516405582428,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.04503112658858299,0.7344797253608704,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,789,E3_joint_redundancy,1.0,0.21174827218055725,0.6689993143081665,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.18016985058784485,0.8422762751579285,Face,52900,Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,158,E3_joint_redundancy,1.0,0.12456034123897552,0.692786693572998,Face,33856,Face+Body+Scene,,,,,,12345
