analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Face,Face+Scene,0.07733859717845917,-0.03858964577317238,-0.002235023677349089,face_dino,-0.28212404251098633,10,0.4,-0.05409591756761074,0.02240701951086521,0.10854329080108113
descriptive_only,Face,Face+Scene,0.10289379358291625,0.020171782970428466,0.010331356525421142,face_lpips,-0.0035022377967834474,10,0.6,-0.0014374643564224244,0.028669193387031555,0.032237035127022966
descriptive_only,Face,Face+Scene,0.04707893133163452,0.012533750534057617,0.0027071356773376463,lpips,-0.0014832735061645508,10,0.7,-7.018446922302246e-05,0.023050978779792786,0.018464824348268547
descriptive_only,Face,Face+Scene,0.14306725690457142,0.016794101300548918,0.0012269367362134995,pixel_corr,-0.032540660063397814,10,0.5,-0.01657609417498745,0.039853801219623175,0.052844809624855486
descriptive_only,Face,Face+Scene,0.0740736597636293,0.0034042426177486157,-0.0009409769040756633,ssim,-0.02646531348723386,10,0.5,-0.0034556377132287613,0.0011963604045856502,0.026846986952672812
descriptive_only,Scene,Body+Scene,0.07907910346984863,-0.014898090958595272,-0.024962759017944338,background_clip,-0.09004303216934204,10,0.4,-0.06879914402961732,0.03437618613243103,0.060133932646623645
descriptive_only,Scene,Body+Scene,0.052112869638949635,-0.00038796954788267515,0.004938244819641114,background_dino,-0.0644753260537982,10,0.5,-0.0327147769741714,0.02904895162209869,0.04002896661466545
descriptive_only,Scene,Body+Scene,0.07907910346984863,-0.016658163666725158,-0.03376312255859375,clip,-0.09004303216934204,10,0.4,-0.06879914402961732,0.03437618613243103,0.06016423875011793
descriptive_only,Scene,Body+Scene,0.052112869638949635,0.0034813498612493283,0.004938244819641114,dino,-0.0644753260537982,10,0.5,-0.012423657905310394,0.02904895162209869,0.036919045300467926
descriptive_only,Scene,Body+Scene,0.028490662574768066,-0.0021390295028686514,-0.0027093529701232907,lpips,-0.028799152374267577,10,0.3,-0.0060308903455734255,0.0013879716396331785,0.016319344384616675
descriptive_only,Scene,Body+Scene,0.05594590977357694,0.0024296849934592143,0.005717541332524787,pixel_corr,-0.06818677788324093,10,0.6,-0.02263309320228157,0.024547289820528097,0.03876741005090905
descriptive_only,Scene,Body+Scene,1.0,0.0,0.0,scene_class_consistency,-1.0,10,0.1,0.0,0.0,0.4714045207910317
descriptive_only,Scene,Body+Scene,0.009707495137714031,-0.008060701576287157,-0.009938246548946237,ssim,-0.02864452051996592,10,0.3,-0.01625619188118275,0.00256365397749171,0.01224431234392952
descriptive_only,Scene,Face+Body,0.07110717296600341,-0.012983778119087219,-0.008616340160369874,background_clip,-0.0905031144618988,10,0.4,-0.03482220470905304,0.005949193239212036,0.04624811502556629
descriptive_only,Scene,Face+Body,0.030904239788651464,-0.007843330241739752,0.022729020193219186,background_dino,-0.1710369199514389,10,0.6,-0.02172490432858467,0.02656228691339493,0.06170369256225142
descriptive_only,Scene,Face+Body,0.07110717296600341,-0.015534912943840027,-0.0188673198223114,clip,-0.0905031144618988,10,0.4,-0.0360745519399643,0.005949193239212036,0.04638282304003484
descriptive_only,Scene,Face+Body,0.030904239788651464,-0.009007766880095008,0.01708726733922958,dino,-0.1710369199514389,10,0.6,-0.02172490432858467,0.026472071744501592,0.06114216878927582
descriptive_only,Scene,Face+Body,0.022508680820465088,0.0006302618980407713,0.0045583248138427734,lpips,-0.04011141061782837,10,0.7,-0.008201903104782105,0.016275569796562195,0.020092198103935303
descriptive_only,Scene,Face+Body,0.08894916407167962,-0.0012279707660506236,-0.005323015406536111,pixel_corr,-0.07989323677793368,10,0.3,-0.019497783514287916,0.0030627854543560885,0.04652586043947353
descriptive_only,Scene,Face+Body,0.0,0.0,0.0,scene_class_consistency,0.0,10,0.0,0.0,0.0,0.0
descriptive_only,Scene,Face+Body,0.01403138049282976,-0.009930042481529608,-0.00486614782345306,ssim,-0.051605362360307216,10,0.2,-0.021262826308702885,-0.000567977119250857,0.019918493446592963
descriptive_only,Scene,Face+Body+Scene,0.07698934078216553,-0.02035859763622284,0.0034635305404663082,background_clip,-0.15966570973396302,10,0.5,-0.04202608168125152,0.032403832674026495,0.07847090728620891
