analysis_status,bh_q_e3b_monotonicity,ci95,double_masks_averaged,image_category,mean_excess_k12,mean_excess_k4,mean_excess_k8,mean_slope_per_level,metric,metric_family,monotonic_non_decreasing_fraction,num_images,sign_flip_p,single_mask,triple_mask
formal,0.639707457825646,"[-0.0035022701260323348, 0.00776719726443601]",Body+Scene;Face+Body,Body,0.008775457980732124,0.0048480130794147655,0.0010720026606383425,0.0019637224506586777,person_dino,local,0.26,50,0.49755024497550243,Body,Face+Body+Scene
formal,0.8983351664833517,"[-0.002874886962545445, 0.004023255489308086]",Body+Scene;Face+Body,Body,0.004449544155157422,0.003535018657709119,0.0025407343070066022,0.00045726274872415055,person_region_consistency,local,0.26,50,0.7985201479852014,Body,Face+Body+Scene
formal,0.9879012098790121,"[-0.004140065117119328, 0.004551197334264969]",Body+Scene;Face+Scene,Scene,0.0031114979886632077,0.002471844380712559,0.0016073934520203404,0.00031982680397532387,pixel_corr,global,0.18,50,0.8876112388761124,Scene,Face+Body+Scene
formal,0.9879012098790121,"[-0.0020749532378589344, 0.0016414398295312189]",Body+Scene;Face+Scene,Scene,-0.0017592759689350889,-0.001288277844745988,-0.0023192467415136604,-0.00023549906209455036,ssim,global,0.38,50,0.8094190580941906,Scene,Face+Body+Scene
formal,0.39183581641835813,"[-0.0007393645922342931, 0.0037575878406564396]",Body+Scene;Face+Scene,Scene,0.0014631070295969648,-0.0015599412520726518,-0.0007456358472506204,0.0015115241408348086,lpips,global,0.32,50,0.208979102089791,Scene,Face+Body+Scene
formal,0.1922307769223078,"[7.202317466338429e-05, 0.013006310765941938]",Body+Scene;Face+Scene,Scene,0.012331463575363159,-0.0003361529906590778,0.004125133832295737,0.0063338082830111195,clip,global,0.34,50,0.07089291070892911,Scene,Face+Body+Scene
formal,0.1922307769223078,"[0.002166669239709156, 0.02606724185707281]",Body+Scene;Face+Scene,Scene,0.023638443538919095,-0.0025217328049863376,0.008678668771559993,0.013080088171952714,dino,global,0.34,50,0.0321967803219678,Scene,Face+Body+Scene
formal,0.12193780621937807,"[0.0018772726012083404, 0.026579523719540643]",Body+Scene;Face+Scene,Scene,0.024488180070494615,-0.0019171649742250644,0.008240582281413177,0.01320267252235984,background_dino,local,0.32,50,0.029897010298970104,Scene,Face+Body+Scene
formal,0.12193780621937807,"[0.00029331131627162064, 0.013405564903219544]",Body+Scene;Face+Scene,Scene,0.012861930092175802,-0.00014646041393279974,0.005333287517229716,0.0065041952530543005,background_clip,local,0.36,50,0.05419458054194581,Scene,Face+Body+Scene
formal,0.12193780621937807,"[0.001999999999999994, 0.04666666666666666]",Body+Scene;Face+Scene,Scene,0.05333333333333333,0.006666666666666669,0.008000000000000002,0.023333333333333334,scene_class_consistency,local,0.66,50,0.05089491050894911,Scene,Face+Body+Scene
