background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,434,E3_joint_redundancy,0.0,0.45089441537857056,0.9528052806854248,Face,14161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.18134060502052307,0.8035033941268921,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,498,E3_joint_redundancy,0.0,0.4204827547073364,0.7638052105903625,Face,9604,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,507,E3_joint_redundancy,1.0,0.33043867349624634,0.6838766932487488,Face,13689,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.30572545528411865,0.65931236743927,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,561,E3_joint_redundancy,1.0,0.2987292408943176,0.7016422748565674,Face,8464,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,588,E3_joint_redundancy,1.0,0.19335688650608063,0.7561071515083313,Face,4225,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,606,E3_joint_redundancy,1.0,0.1440100073814392,0.6861174702644348,Face,10000,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4792592525482178,0.5616002082824707,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,708,E3_joint_redundancy,0.0,0.2155173420906067,0.7337952256202698,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.43477705121040344,0.8019472360610962,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,762,E3_joint_redundancy,0.0,0.26822394132614136,0.8234790563583374,Face,3249,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.12034901976585388,0.714474081993103,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.19203688204288483,0.673111081123352,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,817,E3_joint_redundancy,0.0,-0.03990858793258667,0.8995238542556763,Face,3025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,820,E3_joint_redundancy,1.0,0.18239346146583557,0.6520782709121704,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,838,E3_joint_redundancy,0.0,0.1268099695444107,0.718445360660553,Face,11236,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,877,E3_joint_redundancy,0.0,0.1268770694732666,0.8872288465499878,Face,3481,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,887,E3_joint_redundancy,0.0,0.2508591413497925,0.6799677014350891,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.19494080543518066,0.8271979093551636,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,1,E3_joint_redundancy,0.0,0.29162973165512085,0.7659527063369751,Face,4356,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,16,E3_joint_redundancy,1.0,0.24723772704601288,0.768195390701294,Face,12544,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,20,E3_joint_redundancy,0.0,0.5760345458984375,0.7434551119804382,Face,7396,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,51,E3_joint_redundancy,0.0,0.0060908179730176926,0.8765143752098083,Face,3364,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,77,E3_joint_redundancy,0.0,0.18570557236671448,0.6300753951072693,Face,8649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,135,E3_joint_redundancy,1.0,0.4382581412792206,0.6335958242416382,Face,14400,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.12196952849626541,0.7174925208091736,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,177,E3_joint_redundancy,1.0,0.3323138952255249,0.8888998627662659,Face,15376,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,188,E3_joint_redundancy,0.0,0.07460223883390427,0.9467255473136902,Face,9409,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,218,E3_joint_redundancy,1.0,0.24565142393112183,0.6845592856407166,Face,4489,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.12560023367404938,0.8297216296195984,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,292,E3_joint_redundancy,0.0,0.3447321653366089,0.7775754332542419,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,295,E3_joint_redundancy,1.0,0.24450328946113586,0.9050494432449341,Face,12100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,340,E3_joint_redundancy,1.0,0.2724093198776245,0.8147507905960083,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,375,E3_joint_redundancy,0.0,0.0746823102235794,0.934515118598938,Face,4900,Body+Scene,,,,,,12345
