analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,metric_family,num_images,sign_flip_p,target_minus_pure_random
formal,0.817466640432731,"[-0.019026386417733795, 0.011604466832763104]",Face,Body+Scene,face_dino,local,37,0.5598440155984401,-0.004899237781494586
formal,0.13161183881611838,"[0.002353171190700015, 0.01417723973592122]",Face,Body+Scene,face_lpips,local,37,0.0115988401159884,0.00785243049398199
formal,0.5213853614638536,"[-0.0012789965293428921, 0.005740840706202359]",Face,Body+Scene,lpips,global,37,0.2780721927807219,0.0020343025525410966
formal,0.6407692564076927,"[-0.010974081676038017, 0.0034787901464228654]",Face,Body+Scene,pixel_corr,global,37,0.3825617438256174,-0.003384712386416423
formal,0.13811118888111187,"[-0.008530336275966648, -0.0007985087498499884]",Face,Body+Scene,ssim,global,37,0.022097790220977902,-0.004211103558235479
formal,0.9011055416197511,"[-0.006836819325884184, 0.010325335180974223]",Face,Face,clip,global,37,0.7936206379362064,0.001232019764883024
formal,0.8560584619504152,"[-0.01078103299193957, 0.006545129987906224]",Face,Face,dino,global,37,0.6481351864813518,-0.0020623876377604566
formal,0.6314368563143685,"[-0.028828828828828822, 0.0954954954954955]",Face,Face,face_detection_success,local,37,0.3367663233676632,0.032432432432432434
formal,0.74848284402329,"[-0.011364037014527229, 0.004739438653818691]",Face,Face,face_dino,local,37,0.43245675432456754,-0.0033255631397771934
formal,0.27209043801502203,"[-8.529214171675981e-05, 0.00934513435438946]",Face,Face,face_lpips,local,37,0.09169083091690831,0.004007797090856878
formal,0.8560584619504152,"[-0.0017172422119089074, 0.0010421962270865555]",Face,Face,lpips,global,37,0.6734326567343266,-0.00030643768138713677
formal,0.09915675099156751,"[0.0009572019170392614, 0.006450695927802501]",Face,Face,pixel_corr,global,37,0.011898810118988102,0.003424229095763537
formal,0.4445388794453888,"[-0.0004557708169560919, 0.002205487981974676]",Face,Face,ssim,global,37,0.21337866213378662,0.0008676594990036548
formal,0.599761452426186,"[-0.013938263050607731, 0.004742296769006833]",Face,Face+Body,clip,global,37,0.33586641335866413,-0.004790411312300879
formal,0.6407692564076927,"[-0.004551588828415351, 0.012369198430044286]",Face,Face+Body,dino,global,37,0.36766323367663234,0.0039518669583238995
formal,0.9754605934755363,"[-0.05405405405405406, 0.06486486486486487]",Face,Face+Body,face_detection_success,local,37,0.9083091690830917,0.003603603603603605
formal,0.9284466290213084,"[-0.011664526068924314, 0.01762923070854666]",Face,Face+Body,face_dino,local,37,0.7807219278072193,0.0021472258090570167
